,MI_Score
F3781,0.0017514214929287286
F1731,0.0017508746134962117
F850,0.0017501510616222404
F2963,0.0017464272970451056
F2175,0.001741403696420174
F275,0.0017411955888343433
F1208,0.001738368205878582
F1710,0.0017354498520374406
F2017,0.0017329384841813233
F1426,0.0017295360008132699
F3743,0.0017255339937114478
F1762,0.0017251792631957086
F1545,0.0017229477478585276
F1888,0.0017176174567261615
F1221,0.0017161632289279805
F1531,0.001712854842293443
F152,0.001708202968774053
F1752,0.0017075363765068907
F1959,0.0017039227444444194
F3602,0.0017016665862461533
F1272,0.00169778743697091
F1633,0.001695529486732017
F3923,0.0016941318592844645
F1351,0.0016938099498950976
F3914,0.001692645263080439
F2123,0.001691352277868985
F3754,0.0016836826190238519
F1980,0.0016747380942802037
F566,0.0016737889356354119
F1324,0.001672450481298382
F3112,0.0016708550391604238
F1546,0.00167078332211823
F831,0.001669522343506924
F1158,0.0016689371581432022
F2008,0.0016687701318459647
F2845,0.0016665367842645384
F1438,0.001666131946008842
F1340,0.001663490528369116
F2681,0.0016627747139741356
F2166,0.0016625230228912713
F220,0.001661155227068556
F3922,0.0016562808474267499
F3608,0.0016552322153009502
F893,0.0016530136337453705
F3822,0.0016510634283378733
F1182,0.001650482804832043
F1700,0.0016490794023588107
F2188,0.001647943345144065
F666,0.0016475886823695829
F2952,0.0016462122793200473
F1194,0.0016443543878243982
F1651,0.0016419868835066964
F1472,0.0016410664120579677
F988,0.0016397559855061417
F838,0.0016394704340936261
F1687,0.0016391203752205152
F1317,0.0016386609554995824
F1812,0.0016383603121759016
F1078,0.001635814448952999
F1188,0.0016323185717640465
F120,0.0016322148338590026
F1225,0.0016309550584411303
F2040,0.001628452196762109
F466,0.0016283824883870368
F3601,0.0016281575705966445
F2110,0.0016273206288851538
F2347,0.001624071012383932
F1817,0.0016154878947197693
F3644,0.00161508568337565
F1909,0.0016132420164854944
F673,0.0016128328866549246
F2846,0.0016098826739866512
F262,0.0016072494259410375
F3752,0.0016071097190477612
F1316,0.0016044555107918024
F3475,0.0016035239819671698
F1261,0.0016033937605302029
F1732,0.0016019647234176704
F271,0.0016018147657277382
F3724,0.0016003858578146346
F154,0.0015987737427539672
F743,0.001596704014329875
F1957,0.0015942132619702898
F2255,0.0015930671245127925
F3600,0.0015856889160552612
F1257,0.0015833167506317247
F2355,0.0015809268471491666
F3694,0.0015787016596471304
F65,0.0015716809106104401
F1248,0.00157110817194539
F1735,0.0015686566249524247
F1327,0.0015675875965083241
F1002,0.001566738889874908
F2195,0.0015661415234615728
F1693,0.0015660685851870415
F953,0.0015651494865022153
F2047,0.0015630846335822346
F1749,0.0015605573643636683
F3110,0.0015525643390920107
F2189,0.0015507255881457294
F1220,0.0015500372267521767
F3882,0.0015487228027507571
F3634,0.0015467925437396834
F3727,0.0015427461102014428
F1214,0.0015414513632193705
F1918,0.00154127018954886
F3519,0.0015405607555456502
F2004,0.0015359246728593456
F222,0.0015323300818044228
F1370,0.00153135526713144
F772,0.001529004824348923
F1372,0.0015283894512445606
F1219,0.0015282287319582366
F1655,0.001523547694449734
F562,0.0015218101883767154
F3758,0.0015197067544669984
F2113,0.0015182303165655053
F3571,0.0015175272005457652
F1410,0.0015133209230839828
F3582,0.0015129395906241516
F323,0.0015120820546666858
F1699,0.001507283819951466
F1635,0.0015057132110329885
F1251,0.0015033463123333979
F2452,0.001503223079521665
F1436,0.0015006753578766796
F2380,0.0015006740009840813
F1947,0.0015004177630546511
F3628,0.0014990142943956952
F164,0.0014989455471299262
F2391,0.0014977126174932076
F1305,0.0014974152837063937
F984,0.0014954096578524423
F1823,0.0014952131830985316
F2992,0.001494456366380903
F227,0.0014913221547446787
F959,0.0014900994623157082
F1734,0.0014896285121948072
F123,0.0014841600884889505
F2016,0.0014821248261178699
F1198,0.001481052285005946
F435,0.0014785957238957481
F1031,0.0014785677182735935
F2096,0.0014742618727044965
F1040,0.0014741060365364156
F1359,0.0014701979473574767
F1169,0.0014699026907357693
F574,0.001467819496987821
F1151,0.0014676560914105297
F1950,0.001465637698991662
F1583,0.0014615208382242617
F3856,0.0014578980150569132
F3612,0.0014528974747362033
F628,0.001448689170475248
F3765,0.001448566593055478
F1408,0.0014485204054407452
F1290,0.0014476711118808216
F3836,0.0014436683857581567
F2056,0.001442946680312418
F1204,0.0014336634460484499
F1889,0.0014327544870693654
F570,0.0014314219199782485
F1660,0.0014294587942128567
F3705,0.0014270181809351579
F523,0.0014250651889099464
F2177,0.0014176298321396663
F1300,0.0014154073010047563
F3539,0.001414760089024747
F630,0.001413664700741113
F2196,0.001407020294880934
F1206,0.001403124535701461
F1042,0.001401715800676273
F1767,0.0013993997709855766
F1296,0.0013969841929007965
F1311,0.0013959545894944858
F1763,0.0013875388008339762
F939,0.0013868484839749673
F3595,0.0013856612650595679
F1366,0.001385003656533157
F1901,0.0013849810999821965
F1524,0.0013808378007420519
F3473,0.001378965795728715
F2736,0.0013756877212719454
F2966,0.0013756692057381725
F1313,0.0013689456933813071
F358,0.0013676111115693557
F2356,0.0013674828455061405
F1528,0.0013669989219946554
F1575,0.0013655801667732392
F1652,0.0013655383126635057
F1478,0.001364834928260672
F2135,0.0013635020949729348
F3533,0.001361887905984016
F1421,0.00135596364510715
F3480,0.0013548239871397083
F2745,0.0013522205640682516
F2950,0.0013510680652468743
F3738,0.0013498526920712184
F151,0.0013472744990972174
F829,0.001346142781171289
F472,0.0013400904649535361
F335,0.0013378360073810214
F2186,0.0013377481701266625
F2089,0.0013364572697739385
F1398,0.0013362620588500684
F1270,0.0013333045460589554
F2130,0.0013330970152297672
F1791,0.0013321902443478306
F333,0.001330128158520294
F734,0.0013294924116131757
F2646,0.0013278374134003679
F1149,0.0013252142253074028
F1333,0.0013229697251869732
F1745,0.0013202512528652788
F370,0.0013202359084771853
F3498,0.0013188568925953659
F1678,0.0013162310274161815
F371,0.0013148107846163715
F318,0.0013128124953617482
F1716,0.0013119365123732685
F1515,0.0013057952496100533
F2548,0.0013055572683845496
F3486,0.0013052221483077497
F1249,0.0012987257243164407
F1039,0.0012953738587466734
F2046,0.0012940223857276223
F1808,0.0012923292413803411
F1143,0.0012890958028440869
F1852,0.0012833357247050703
F1636,0.0012806735013842774
F2129,0.0012775805556479725
F2080,0.0012761137355611352
F66,0.0012755497188176035
F2075,0.0012754097747366133
F2053,0.0012753162575969146
F2488,0.0012697801041421375
F1567,0.0012625432047688179
F1792,0.0012613719250709199
F3522,0.0012611477727905163
F2248,0.001260185542376946
F3100,0.001258300548954261
F3739,0.0012576738831376888
F1207,0.0012532284807286187
F3858,0.0012516694815702945
F1418,0.0012476599429517288
F853,0.0012438674877308653
F1100,0.0012427605284894838
F1924,0.0012390325516358214
F1377,0.0012369864948417186
F2959,0.0012335609328448793
F1905,0.0012324179455147632
F3699,0.0012316935583333022
F3631,0.001231454304398416
F3741,0.001225296091800998
F3043,0.001224204206406565
F2541,0.0012235678104246528
F889,0.001222740231657693
F69,0.0012215604761875998
F1419,0.0012183634973228497
F163,0.001218279166608549
F985,0.0012157182577592351
F3791,0.0012111424711717111
F2025,0.0012098330353340625
F1038,0.0012071593527515079
F3715,0.0012070708493131521
F1379,0.0012037890648424199
F3597,0.0011994664905987662
F1363,0.001198331853777268
F1386,0.0011974413317210608
F3603,0.0011954054893450472
F3723,0.0011953720334002549
F1759,0.0011944921649164053
F1810,0.0011943788242594344
F613,0.001194091169456235
F2006,0.0011915862327632754
F3689,0.0011900525327679379
F28,0.0011889995762653927
